Date,Close,Stock,rsi,ma20,ma50,signal,signal_label
2025-05-27,2355.429931640625,HINDUNILVR.NS,55.0299588752913,2333.109619140625,2286.237529296875,0,
2025-05-28,2337.419189453125,HINDUNILVR.NS,51.913696797270745,2335.103649902344,2289.10833984375,0,
2025-05-29,2342.0703125,HINDUNILVR.NS,52.659253689675516,2336.320837402344,2292.5481640625,0,
2025-05-30,2323.86181640625,HINDUNILVR.NS,49.4282631896971,2337.790380859375,2295.98205078125,1,BUY
2025-06-02,2346.91943359375,HINDUNILVR.NS,53.333034252221005,2338.9284057617188,2299.947353515625,0,
2025-06-03,2327.8203125,HINDUNILVR.NS,49.89634635187065,2337.4687622070314,2303.530673828125,1,BUY
2025-06-04,2339.893310546875,HINDUNILVR.NS,52.00184411657731,2337.1570434570312,2306.7854443359374,0,
2025-06-05,2351.66943359375,HINDUNILVR.NS,54.0310309689478,2338.2208618164063,2309.4375537109377,0,
2025-06-06,2364.929931640625,HINDUNILVR.NS,56.272802336586665,2341.0362548828125,2312.2796630859375,0,
2025-06-09,2368.294677734375,HINDUNILVR.NS,56.847852998780006,2341.5656860351564,2314.99115234375,0,
2025-06-10,2370.273681640625,HINDUNILVR.NS,57.20433147635816,2343.3073608398436,2317.443359375,0,
2025-06-11,2351.66943359375,HINDUNILVR.NS,52.789364186670994,2344.5888793945314,2320.0252099609374,0,
2025-06-12,2308.424072265625,HINDUNILVR.NS,44.241782097386974,2343.4755859375,2321.767880859375,1,BUY
2025-06-13,2294.86669921875,HINDUNILVR.NS,41.9486176366943,2340.388049316406,2322.958359375,1,BUY
2025-06-16,2303.17919921875,HINDUNILVR.NS,43.869677604942574,2337.651818847656,2324.8098828125,1,BUY
2025-06-17,2304.366943359375,HINDUNILVR.NS,44.1540555540507,2337.0333251953125,2326.605009765625,1,BUY
2025-06-18,2273.392578125,HINDUNILVR.NS,38.65411143186543,2333.73798828125,2327.6490283203125,1,BUY
2025-06-19,2270.32470703125,HINDUNILVR.NS,38.14727183438328,2331.9319702148437,2328.631689453125,1,BUY
2025-06-20,2282.199951171875,HINDUNILVR.NS,41.35288853985124,2329.3095458984376,2329.755869140625,0,
2025-06-23,2275.10009765625,HINDUNILVR.NS,40.017539972137534,2324.6052856445312,2329.949345703125,0,
2025-06-24,2263.10009765625,HINDUNILVR.NS,37.79601428379401,2319.9887939453124,2328.7004638671874,0,
2025-06-25,2278.699951171875,HINDUNILVR.NS,42.281791994865436,2317.05283203125,2327.4439404296877,0,
2025-06-26,2279.60009765625,HINDUNILVR.NS,42.53928646285991,2313.9293212890625,2326.297451171875,0,
